Symbol	Company	Price	Change%	Open	High	Low	Volume	MarketCap	EPS	PE	52W High	52W Low	Dividend	Yield
MRK	Merck & Company Inc.	$105.66 	5.24%	$100.73 	$105.84 	$100.71 	249,098	$262.25B	$7.58 	13.27	$105.84 (2025-11-25)	$73.31 (2025-05-15)	$3.40 	321.80%
INTU	Intuit Inc.	$648.07 	-0.79%	$651.95 	$658.47 	$640.34 	63,685	$180.42B	$14.56 	44.86	$813.70 (2025-07-30)	$532.65 (2025-04-07)	$4.80 	74.10%
NOW	ServiceNow Inc.	$825.31 	1.16%	$812.37 	$830.90 	$811.00 	51,878	$171.66B	$8.28 	98.53	$1,198.09 (2025-01-28)	$678.66 (2025-04-07)	$0.00 	0.00%
PEP	PepsiCo Inc.	$146.11 	0.42%	$145.93 	$147.12 	$145.57 	86,739	$199.78B	$5.26 	27.66	$165.13 (2024-11-27)	$127.60 (2025-06-26)	$5.69 	389.40%
C	Citigroup Inc.	$101.17 	1.48%	$100.36 	$101.75 	$99.53 	118,211	$181.02B	$7.11 	14.02	$105.59 (2025-09-23)	$55.51 (2025-04-07)	$2.40 	237.20%
PDD	PDD Holdings Inc.	$114.00 	0.45%	$114.06 	$115.13 	$113.20 	74,781	$161.84B	$10.42 	10.63	$139.41 (2025-10-29)	$87.11 (2025-04-10)	$0.00 	0.00%
VZ	Verizon Communications Inc.	$40.59 	0.95%	$40.59 	$40.80 	$40.41 	120,807	$171.14B	$4.68 	8.59	$47.36 (2025-03-10)	$37.59 (2025-01-10)	$2.76 	680.00%
MUFG	Mitsubishi UFJ Financial Group Inc.	$15.49 	0.72%	$15.35 	$15.51 	$15.26 	13,769	$186.93B	$0.72 	21.91	$16.24 (2025-09-23)	$10.46 (2025-04-07)	$0.54 	347.80%
SHOP	Shopify Inc.	$157.37 	1.33%	$154.58 	$158.31 	$151.38 	93,188	$204.82B	$2.76 	87.84	$182.19 (2025-10-29)	$69.84 (2025-04-04)	$0.00 	0.00%
QCOM	QUALCOMM Incorporated	$163.30 	-1.07%	$163.99 	$164.97 	$161.87 	130,065	$174.89B	$5.01 	32.95	$205.95 (2025-10-27)	$120.80 (2025-04-07)	$3.56 	218.00%
BKNG	Booking Holdings Inc.	$4,906.24 	0.63%	$4,882.51 	$4,952.27 	$4,867.01 	32,304	$158.15B	$153.51 	31.76	$5,839.41 (2025-07-08)	$4,096.23 (2025-04-09)	$38.40 	78.30%
ANET	Arista Networks Inc.	$125.04 	2.35%	$122.40 	$125.91 	$122.32 	103,546	$157.46B	$2.64 	46.33	$164.94 (2025-10-30)	$59.43 (2025-04-07)	$0.00 	0.00%
BLK	BlackRock Inc.	$1,029.77 	1.01%	$1,019.49 	$1,033.00 	$1,010.92 	44,475	$159.77B	$38.90 	26.21	$1,219.94 (2025-10-15)	$773.74 (2025-04-07)	$20.84 	202.40%
SONY	Sony Group Corporation American Depositary Shares	$28.60 	-1.41%	$28.12 	$28.61 	$28.08 	28,977	$172.32B	$1.24 	23.79	$30.34 (2025-11-12)	$19.31 (2024-11-25)	$0.16 	56.50%
MU	Micron Technology Inc.	$224.53 	0.27%	$219.22 	$226.19 	$216.00 	269,986	$252.03B	$7.59 	29.5	$260.58 (2025-11-17)	$61.54 (2025-04-07)	$0.46 	20.50%
TMO	Thermo Fisher Scientific Inc	$597.78 	2.00%	$582.20 	$602.32 	$581.80 	62,655	$224.59B	$17.31 	33.86	$610.97 (2025-01-30)	$385.46 (2025-06-18)	$1.72 	28.80%
SCHW	Charles Schwab Corporation (The)	$90.74 	0.24%	$90.29 	$91.14 	$89.50 	100,485	$161.24B	$4.27 	21.2	$99.59 (2025-07-29)	$65.88 (2025-04-07)	$1.08 	119.00%
TXN	Texas Instruments Incorporated	$161.77 	0.32%	$159.72 	$161.95 	$158.69 	93,233	$146.99B	$5.48 	29.43	$221.69 (2025-07-11)	$139.95 (2025-04-11)	$5.68 	351.10%
BA	The Boeing Company	$182.44 	1.85%	$179.49 	$183.48 	$177.52 	134,106	$138.67B	$N/A	N/A	$242.69 (2025-07-29)	$128.88 (2025-04-07)	$0.00 	0.00%
INTC	Intel Corporation	$35.83 	0.11%	$35.55 	$36.13 	$34.68 	244,860	$156.83B	$0.01 	3,579.00	$42.48 (2025-10-28)	$17.67 (2025-04-08)	$0.00 	0.00%
GEV	GE Vernova Inc.	$572.56 	-1.37%	$575.00 	$582.00 	$553.25 	76,158	$155.86B	$6.16 	94.24	$677.29 (2025-07-31)	$252.25 (2025-04-04)	$1.00 	17.50%
HDB	HDFC Bank Limited	$36.18 	-0.55%	$36.13 	$36.22 	$35.55 	23,791	$185.17B	$0.52 	36.6	$39.81 (2025-07-23)	$28.89 (2025-01-13)	$0.39 	107.10%
AMAT	Applied Materials Inc.	$242.46 	5.00%	$237.55 	$244.62 	$233.14 	115,968	$193.15B	$8.39 	27.52	$244.62 (2025-11-25)	$123.74 (2025-04-07)	$1.84 	75.90%
LRCX	Lam Research Corporation	$151.93 	1.03%	$149.55 	$152.80 	$145.50 	128,890	$190.83B	$4.53 	33.2	$167.15 (2025-11-10)	$56.32 (2025-04-07)	$1.04 	68.50%
TJX	TJX Companies Inc. (The)	$152.39 	2.37%	$148.87 	$153.02 	$148.41 	85,902	$169.60B	$4.39 	33.91	$153.02 (2025-11-25)	$112.10 (2025-03-13)	$1.70 	111.60%
